country;continent;life_expectancy_at_bird;GDP_per_person;population
Northern Mariana Islands;Oceania;..;17,020.6;54,816.0
Norway;Europe;82.1;74,521.6;5,188,607.0
Oman;Asia;77.1;16,627.4;4,199,810.0
Pakistan;Asia;66.3;1,428.6;189,380,513.0
Palau;Oceania;..;13,981.8;21,288.0
Panama;America;77.8;13,134.0;3,969,249.0
Papua New Guinea;Oceania;65.4;2,659.3;7,919,825.0
Paraguay;America;73.0;4,109.4;6,639,119.0
Peru;America;74.7;6,030.3;31,376,671.0
Philippines;Asia;69.0;2,878.3;101,716,359.0
Poland;Europe;78.2;12,564.5;37,986,412.0
Portugal;Europe;81.5;19,252.6;3,473,181.0
Qatar;Asia;78.5;66,346.5;2,481,539.0
Romania;Europe;75.0;8,978.4;19,815,481.0
Russian Federation;Europe;70.9;9,329.3;144,096,870.0
Rwanda;Africa;66.6;710.3;11,629,553.0
Samoa;Oceania;74.8;4,149.4;193,759.0
San Marino;Europe;..;47,611.0;32,960.0
Sao Tome and Principe;Africa;66.4;1,615.3;195,553.0
Saudi Arabia;Asia;74.6;20,653.2;31,557,144.0
Senegal;Africa;66.7;910.8;14,976,994.0
Serbia;Europe;75.5;5,237.3;7,095,383.0
Seychelles;Africa;73.2;15,390.0;93,419.0
Sierra Leone;Africa;51.4;587.5;7,237,025.0
Singapore;Asia;82.6;53,629.7;38,824.0
Slovak Republic;Europe;77.2;16,132.9;5,423,801.0
Slovenia;Europe;81.1;20,873.2;2,063,531.0
Solomon Islands;Oceania;70.5;1,922.0;587,482.0
Somalia;Africa;55.9;426.0;13,908,129.0
South Africa;Africa;61.9;5,773.5;55,011,976.7
South Sudan;Africa;56.3;758.7;11,882,136.0
Spain;Europe;83.4;25,787.9;46,447,697.0
Sri Lanka;Asia;75.0;3,844.9;20,966,000.0
St. Kitts and Nevis;America;..;16,178.2;54,288.0
St. Lucia;America;75.3;9,306.4;31,754.0
St. Vincent and the Grenadines;America;73.1;6,899.7;109,455.0
Sudan;Africa;64.2;2,513.9;38,647,803.0
Suriname;America;71.3;8,724.7;553,208.0
Swaziland;Africa;56.9;3,047.9;1,319,011.0
Sweden;Europe;82.6;50,812.2;9,799,186.0
Switzerland;Europe;83.2;82,016.0;18,734,987.0
Tajikistan;Asia;71.0;918.7;8,548,651.0
Tanzania;Africa;64.9;872.3;53,879,957.0
Thailand;Asia;75.1;5,814.9;68,657,600.0
Timor-Leste;Asia;68.6;1,294.5;1,240,977.0
Togo;Africa;59.9;551.1;7,416,802.0
Tonga;Oceania;72.8;4,093.8;106,364.0
Trinidad and Tobago;America;70.6;17,321.8;1,360,092.0
Tunisia;Africa;75.5;3,828.1;11,273,661.0
Turkey;Europe;75.4;10,984.8;78,271,472.0
Turkmenistan;Asia;67.6;6,432.7;34,339.0
Tuvalu;Oceania;..;2,970.0;11,001.0
Uganda;Africa;59.5;674.0;40,144,870.0
Ukraine;Europe;71.2;2,124.7;45,154,029.0
United Arab Emirates;Asia;77.5;39,101.7;9,154,302.0
United Kingdom;Europe;81.6;44,305.6;65,128,861.0
United States;America;78.7;56,469.0;320,896,618.0
Uruguay;America;77.1;15,524.8;3,431,552.0
Uzbekistan;Asia;71.1;2,137.6;31,298,900.0
Vanuatu;Oceania;72.0;2,805.8;31,155,134.0
Vietnam;Asia;75.9;2,107.0;91,713,300.0
Virgin Islands (U.S.);America;79.9;36,350.8;103,574.0
West Bank and Gaza;Asia;73.3;2,865.8;4,422,143.0
Yemen, Rep.;Asia;64.7;1,401.9;26,916,207.0
Zambia;Africa;61.3;1,313.9;16,100,587.0
Zimbabwe;Africa;60.3;1,033.4;15,777,451.0
;;;;
